asset_id,video_path,expected_label,predicted_label,confidence,correct,probability_car_vs_bicycle,probability_car_vs_car,probability_car_vs_motorcycle,probability_car_vs_pedestrian
aihub_train_00004067_bb_1_180614_vehicle_144_109,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00004067_bb_1_180614_vehicle_144_109.mp4,car_vs_car,car_vs_motorcycle,0.525412,False,0.263883,0.072626,0.525412,0.138079
aihub_train_00006219_bb_1_160423_vehicle_145_106,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006219_bb_1_160423_vehicle_145_106.mp4,car_vs_car,car_vs_motorcycle,0.479421,False,0.235098,0.234225,0.479421,0.051256
aihub_train_00006063_bb_1_150202_vehicle_148_322,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006063_bb_1_150202_vehicle_148_322.mp4,car_vs_car,car_vs_pedestrian,0.420832,False,0.247072,0.139223,0.192873,0.420832
aihub_train_00000142_bb_1_170709_pedestrian_255_21731,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000142_bb_1_170709_pedestrian_255_21731.mp4,car_vs_pedestrian,car_vs_car,0.543097,False,0.015719,0.543097,0.071057,0.370127
aihub_train_00000095_bb_1_180822_pedestrian_235_22384,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000095_bb_1_180822_pedestrian_235_22384.mp4,car_vs_pedestrian,car_vs_motorcycle,0.553004,False,0.161758,0.115722,0.553004,0.169516
aihub_train_00000115_bb_1_201102_pedestrian_254_21987,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000115_bb_1_201102_pedestrian_254_21987.mp4,car_vs_pedestrian,car_vs_motorcycle,0.61942,False,0.129465,0.109841,0.61942,0.141274
aihub_train_00000083_bb_1_170418_pedestrian_39_051,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000083_bb_1_170418_pedestrian_39_051.mp4,car_vs_pedestrian,car_vs_car,0.632147,False,0.058559,0.632147,0.109804,0.199491
aihub_train_00000126_bb_3_220404_pedestrian_249_21633,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000126_bb_3_220404_pedestrian_249_21633.mp4,car_vs_pedestrian,car_vs_car,0.576269,False,0.145842,0.576269,0.177587,0.100301
aihub_train_00000060_bb_3_160511_pedestrian_118_008,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000060_bb_3_160511_pedestrian_118_008.mp4,car_vs_pedestrian,car_vs_motorcycle,0.654693,False,0.191656,0.028832,0.654693,0.124818
aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480.mp4,car_vs_motorcycle,car_vs_bicycle,0.641923,False,0.641923,0.096931,0.240932,0.020214
aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182.mp4,car_vs_motorcycle,car_vs_bicycle,0.726299,False,0.726299,0.016539,0.18944,0.067722
aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142.mp4,car_vs_motorcycle,car_vs_car,0.909298,False,0.013908,0.909298,0.046834,0.029961
aihub_train_00002736_bb_1_181024_bike_216_22252,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002736_bb_1_181024_bike_216_22252.mp4,car_vs_bicycle,car_vs_motorcycle,0.758664,False,0.160758,0.029452,0.758664,0.051126
aihub_train_00002701_bb_1_140209_bike_148_008,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002701_bb_1_140209_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.752227,False,0.082979,0.055106,0.752227,0.109687
aihub_train_00002728_bb_1_170606_bike_228_22977,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002728_bb_1_170606_bike_228_22977.mp4,car_vs_bicycle,car_vs_motorcycle,0.576004,False,0.176243,0.227104,0.576004,0.02065
aihub_train_00002700_bb_1_130626_bike_148_008,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002700_bb_1_130626_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.752227,False,0.082979,0.055106,0.752227,0.109687
aihub_train_00002733_bb_1_180411_bike_142_068,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002733_bb_1_180411_bike_142_068.mp4,car_vs_bicycle,car_vs_motorcycle,0.514866,False,0.4061,0.022425,0.514866,0.05661
aihub_train_00002724_bb_1_161120_bike_214_20922,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002724_bb_1_161120_bike_214_20922.mp4,car_vs_bicycle,car_vs_motorcycle,0.507358,False,0.357323,0.029649,0.507358,0.10567
aihub_train_00002764_bb_1_200531_bike_117_192,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002764_bb_1_200531_bike_117_192.mp4,car_vs_bicycle,car_vs_motorcycle,0.536248,False,0.228871,0.125255,0.536248,0.109625
aihub_train_00002726_bb_1_170320_bike_236_22284,/workspace/SKN27-FINAL-3Team/storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002726_bb_1_170320_bike_236_22284.mp4,car_vs_bicycle,car_vs_motorcycle,0.721308,False,0.211247,0.043723,0.721308,0.023721
