asset_id,video_path,expected_label,predicted_label,confidence,correct,probability_car_vs_bicycle,probability_car_vs_car,probability_car_vs_motorcycle,probability_car_vs_pedestrian
aihub_train_00004067_bb_1_180614_vehicle_144_109,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00004067_bb_1_180614_vehicle_144_109.mp4,car_vs_car,car_vs_pedestrian,0.346135,False,0.259571,0.146834,0.24746,0.346135
aihub_train_00006219_bb_1_160423_vehicle_145_106,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006219_bb_1_160423_vehicle_145_106.mp4,car_vs_car,car_vs_motorcycle,0.424913,False,0.336877,0.165175,0.424913,0.073036
aihub_train_00006063_bb_1_150202_vehicle_148_322,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006063_bb_1_150202_vehicle_148_322.mp4,car_vs_car,car_vs_pedestrian,0.413394,False,0.162676,0.167505,0.256426,0.413394
aihub_train_00000142_bb_1_170709_pedestrian_255_21731,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000142_bb_1_170709_pedestrian_255_21731.mp4,car_vs_pedestrian,car_vs_car,0.360045,False,0.059982,0.360045,0.229551,0.350423
aihub_train_00000095_bb_1_180822_pedestrian_235_22384,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000095_bb_1_180822_pedestrian_235_22384.mp4,car_vs_pedestrian,car_vs_motorcycle,0.375666,False,0.292656,0.201701,0.375666,0.129976
aihub_train_00000115_bb_1_201102_pedestrian_254_21987,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000115_bb_1_201102_pedestrian_254_21987.mp4,car_vs_pedestrian,car_vs_motorcycle,0.373813,False,0.253198,0.225728,0.373813,0.147262
aihub_train_00000083_bb_1_170418_pedestrian_39_051,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000083_bb_1_170418_pedestrian_39_051.mp4,car_vs_pedestrian,car_vs_motorcycle,0.296809,False,0.155239,0.277881,0.296809,0.270072
aihub_train_00000126_bb_3_220404_pedestrian_249_21633,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000126_bb_3_220404_pedestrian_249_21633.mp4,car_vs_pedestrian,car_vs_car,0.35998,False,0.248466,0.35998,0.290945,0.100609
aihub_train_00000060_bb_3_160511_pedestrian_118_008,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000060_bb_3_160511_pedestrian_118_008.mp4,car_vs_pedestrian,car_vs_motorcycle,0.495396,False,0.339178,0.047465,0.495396,0.11796
aihub_train_00000084_bb_1_170424_pedestrian_189_034,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000084_bb_1_170424_pedestrian_189_034.mp4,car_vs_pedestrian,car_vs_car,0.557736,False,0.049603,0.557736,0.0975,0.295161
aihub_train_00000018_bb_1_180319_pedestrian_117_199,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000018_bb_1_180319_pedestrian_117_199.mp4,car_vs_pedestrian,car_vs_motorcycle,0.402811,False,0.345307,0.074291,0.402811,0.177592
aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480.mp4,car_vs_motorcycle,car_vs_bicycle,0.667786,False,0.667786,0.087259,0.207331,0.037624
aihub_train_00000867_bb_1_211006_two-wheeled-vehicle_142_182,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000867_bb_1_211006_two-wheeled-vehicle_142_182.mp4,car_vs_motorcycle,car_vs_pedestrian,0.39674,False,0.193628,0.066589,0.343043,0.39674
aihub_train_00000880_bb_1_220219_two-wheeled-vehicle_260_21656,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000880_bb_1_220219_two-wheeled-vehicle_260_21656.mp4,car_vs_motorcycle,car_vs_car,0.361774,False,0.186118,0.361774,0.286565,0.165542
aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182.mp4,car_vs_motorcycle,car_vs_bicycle,0.478684,False,0.478684,0.058848,0.389921,0.072548
aihub_train_00000770_bb_1_161224_two-wheeled-vehicle_232_22526,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000770_bb_1_161224_two-wheeled-vehicle_232_22526.mp4,car_vs_motorcycle,car_vs_bicycle,0.606712,False,0.606712,0.049741,0.307267,0.03628
aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142.mp4,car_vs_motorcycle,car_vs_car,0.760052,False,0.046314,0.760052,0.079057,0.114577
aihub_train_00002701_bb_1_140209_bike_148_008,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002701_bb_1_140209_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.713195,False,0.181543,0.040804,0.713195,0.064458
aihub_train_00002728_bb_1_170606_bike_228_22977,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002728_bb_1_170606_bike_228_22977.mp4,car_vs_bicycle,car_vs_motorcycle,0.60029,False,0.205049,0.126775,0.60029,0.067887
aihub_train_00002700_bb_1_130626_bike_148_008,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002700_bb_1_130626_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.713195,False,0.181543,0.040804,0.713195,0.064458
