asset_id,video_path,expected_label,predicted_label,confidence,correct,probability_car_vs_bicycle,probability_car_vs_car,probability_car_vs_motorcycle,probability_car_vs_pedestrian
aihub_train_00004067_bb_1_180614_vehicle_144_109,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00004067_bb_1_180614_vehicle_144_109.mp4,car_vs_car,car_vs_motorcycle,0.525574,False,0.263836,0.072626,0.525574,0.137965
aihub_train_00006219_bb_1_160423_vehicle_145_106,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006219_bb_1_160423_vehicle_145_106.mp4,car_vs_car,car_vs_motorcycle,0.479494,False,0.23507,0.234182,0.479494,0.051254
aihub_train_00006063_bb_1_150202_vehicle_148_322,storage/vision/datasets/classification/raw_videos/차대차/aihub_train_00006063_bb_1_150202_vehicle_148_322.mp4,car_vs_car,car_vs_pedestrian,0.420776,False,0.247001,0.139219,0.193004,0.420776
aihub_train_00000142_bb_1_170709_pedestrian_255_21731,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000142_bb_1_170709_pedestrian_255_21731.mp4,car_vs_pedestrian,car_vs_car,0.542262,False,0.015744,0.542262,0.07114,0.370854
aihub_train_00000095_bb_1_180822_pedestrian_235_22384,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000095_bb_1_180822_pedestrian_235_22384.mp4,car_vs_pedestrian,car_vs_motorcycle,0.552798,False,0.161774,0.115652,0.552798,0.169776
aihub_train_00000115_bb_1_201102_pedestrian_254_21987,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000115_bb_1_201102_pedestrian_254_21987.mp4,car_vs_pedestrian,car_vs_motorcycle,0.61949,False,0.129463,0.109718,0.61949,0.141329
aihub_train_00000083_bb_1_170418_pedestrian_39_051,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000083_bb_1_170418_pedestrian_39_051.mp4,car_vs_pedestrian,car_vs_car,0.632553,False,0.058471,0.632553,0.109603,0.199373
aihub_train_00000126_bb_3_220404_pedestrian_249_21633,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000126_bb_3_220404_pedestrian_249_21633.mp4,car_vs_pedestrian,car_vs_car,0.576231,False,0.145815,0.576231,0.177539,0.100415
aihub_train_00000060_bb_3_160511_pedestrian_118_008,storage/vision/datasets/classification/raw_videos/차대보행자/aihub_train_00000060_bb_3_160511_pedestrian_118_008.mp4,car_vs_pedestrian,car_vs_motorcycle,0.654789,False,0.191536,0.02883,0.654789,0.124845
aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001044_bb_1_200910_two-wheeled-vehicle_242_21480.mp4,car_vs_motorcycle,car_vs_bicycle,0.641756,False,0.641756,0.097067,0.240975,0.020201
aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00000835_bb_1_200715_two-wheeled-vehicle_143_182.mp4,car_vs_motorcycle,car_vs_bicycle,0.726367,False,0.726367,0.016549,0.189392,0.067692
aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142,storage/vision/datasets/classification/raw_videos/차대이륜차/aihub_train_00001003_bb_1_190429_two-wheeled-vehicle_114_142.mp4,car_vs_motorcycle,car_vs_car,0.909257,False,0.01392,0.909257,0.046856,0.029967
aihub_train_00002736_bb_1_181024_bike_216_22252,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002736_bb_1_181024_bike_216_22252.mp4,car_vs_bicycle,car_vs_motorcycle,0.7586,False,0.160856,0.02943,0.7586,0.051114
aihub_train_00002701_bb_1_140209_bike_148_008,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002701_bb_1_140209_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.752344,False,0.082984,0.055075,0.752344,0.109597
aihub_train_00002728_bb_1_170606_bike_228_22977,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002728_bb_1_170606_bike_228_22977.mp4,car_vs_bicycle,car_vs_motorcycle,0.575875,False,0.176311,0.227166,0.575875,0.020649
aihub_train_00002700_bb_1_130626_bike_148_008,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002700_bb_1_130626_bike_148_008.mp4,car_vs_bicycle,car_vs_motorcycle,0.752344,False,0.082984,0.055075,0.752344,0.109597
aihub_train_00002733_bb_1_180411_bike_142_068,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002733_bb_1_180411_bike_142_068.mp4,car_vs_bicycle,car_vs_motorcycle,0.514912,False,0.406056,0.022428,0.514912,0.056604
aihub_train_00002724_bb_1_161120_bike_214_20922,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002724_bb_1_161120_bike_214_20922.mp4,car_vs_bicycle,car_vs_motorcycle,0.507209,False,0.357398,0.029667,0.507209,0.105727
aihub_train_00002764_bb_1_200531_bike_117_192,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002764_bb_1_200531_bike_117_192.mp4,car_vs_bicycle,car_vs_motorcycle,0.536121,False,0.22895,0.125302,0.536121,0.109627
aihub_train_00002726_bb_1_170320_bike_236_22284,storage/vision/datasets/classification/raw_videos/차대자전거/aihub_train_00002726_bb_1_170320_bike_236_22284.mp4,car_vs_bicycle,car_vs_motorcycle,0.721292,False,0.211289,0.043699,0.721292,0.02372
